participant_id,age,gender,education,gaming_experience_years,hours_gaming_weekly,preferred_genre,preferred_art_style,narrative_importance,character_depth_importance,world_building_importance,music_importance,gameplay_over_story,ai_generated_content_comfort,ai_art_acceptance,ai_story_acceptance,preferred_game_length_minutes,multiplayer_interest,accessibility_needs,accessibility_details,open_feedback
P001,28,Male,Masters,10,22,RPG,Anime,6,5,6,3,5,6,4,5,30,5,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P002,24,Female,Masters,10,10,Puzzle,Realistic 3D,5,4,5,2,5,6,3,5,45,6,Yes,larger text options,I think AI-generated stories could be really exciting if they adapt to player choices in meaningful ways and keep the narrative fresh every playthrough.
P003,30,Male,Masters,1,21,Adventure,Anime,5,7,5,6,3,5,4,3,30,2,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P004,36,Female,Bachelors,16,11,Puzzle,Anime,5,3,6,7,2,4,6,6,45,3,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P005,23,Female,Bachelors,5,11,RPG,Anime,6,4,6,7,1,3,6,4,45,2,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P006,23,Female,High School,12,8,Action,Anime,5,5,3,6,5,7,6,6,60,3,Yes,screen reader compatibility,I am excited about AI games because they could solve the problem of repetitive content. Every session could feel genuinely new and surprising.
P007,36,Male,Bachelors,3,15,Simulation,Realistic 3D,7,7,7,6,2,4,3,6,90,3,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P008,30,Female,High School,16,11,Puzzle,Low Poly,4,5,7,6,1,5,4,7,45,5,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P009,22,Male,Bachelors,3,14,Strategy,Watercolor,5,4,4,6,5,6,4,5,60,6,No,,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P010,29,Male,Bachelors,0,3,Simulation,Pixel Art,5,7,6,5,7,5,2,5,45,6,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P011,22,Male,Bachelors,17,21,Strategy,Low Poly,7,3,6,5,4,6,5,6,60,2,No,,"The technology is promising but not there yet for full games. I would play this to see how far AI has come, but my expectations are moderate."
P012,22,Female,Bachelors,1,24,RPG,Anime,6,2,6,5,5,7,4,4,15,3,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P013,27,Female,High School,3,11,Puzzle,Low Poly,7,6,5,4,4,4,4,5,30,1,Yes,larger text options,AI art and writing still have a long way to go. I have seen too many AI artifacts and nonsensical plot points to fully trust the technology yet.
P014,18,Male,High School,21,31,Puzzle,Watercolor,4,4,4,4,4,6,3,5,45,2,No,,"If the AI can maintain consistent character personalities throughout the story while still allowing growth and change, I am fully on board."
P015,18,Male,Masters,21,27,Adventure,Anime,6,4,5,2,5,6,6,6,45,5,Yes,colorblind mode,I think AI-generated stories could be really exciting if they adapt to player choices in meaningful ways and keep the narrative fresh every playthrough.
P016,21,Male,Bachelors,6,15,Strategy,Pixel Art,7,6,7,5,4,5,4,6,15,6,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P017,18,Female,High School,7,22,Simulation,Realistic 3D,6,5,6,3,4,6,3,4,30,1,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P018,27,Male,Bachelors,4,19,Simulation,Anime,7,4,5,3,4,5,1,6,30,2,Yes,screen reader compatibility,"My concern with AI games is consistency. AI often contradicts itself in longer narratives, and that breaks immersion faster than anything else."
P019,19,Female,Masters,2,3,Adventure,Anime,5,3,6,5,3,5,4,6,90,3,No,,"While the concept is interesting, I fear AI games will become a crutch for lazy developers who skip proper quality assurance and narrative design."
P020,18,Male,High School,3,9,RPG,Realistic 3D,7,6,2,7,5,6,6,4,45,4,Yes,colorblind mode,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P021,35,Non-binary,Bachelors,8,16,Simulation,Pixel Art,7,6,7,6,4,4,6,2,45,2,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P022,23,Male,High School,10,25,Action,Low Poly,5,5,3,3,3,4,4,4,30,4,No,,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P023,25,Male,High School,11,4,RPG,Low Poly,5,7,5,3,5,4,4,6,45,3,Yes,customizable color schemes,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P024,18,Male,Bachelors,11,3,Simulation,Anime,7,4,4,6,3,3,5,5,30,3,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P025,21,Non-binary,Bachelors,1,10,Action,Pixel Art,7,3,4,3,4,7,3,3,30,4,No,,"If the AI can maintain consistent character personalities throughout the story while still allowing growth and change, I am fully on board."
P026,26,Non-binary,Bachelors,5,2,Adventure,Realistic 3D,5,4,7,4,4,3,5,4,45,4,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P027,18,Male,Masters,0,10,Puzzle,Pixel Art,5,5,5,6,6,4,5,5,15,3,Yes,adjustable text speed,AI art and writing still have a long way to go. I have seen too many AI artifacts and nonsensical plot points to fully trust the technology yet.
P028,28,Female,PhD,6,13,Adventure,Low Poly,5,5,6,3,5,4,6,5,15,3,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P029,21,Female,Bachelors,4,6,RPG,Pixel Art,4,5,5,5,4,5,4,4,30,3,No,,"I think AI games could work for casual experiences, but for a deep narrative RPG I still prefer human writers. Maybe a hybrid approach would be best."
P030,23,Female,Bachelors,15,10,Adventure,Anime,4,5,6,3,5,6,5,5,15,3,No,,I could see AI being great for procedural side content while human writers handle the main storyline. Best of both worlds approach seems wise.
P031,21,Female,Masters,3,18,Action,Realistic 3D,4,3,5,4,6,5,3,4,30,3,Yes,colorblind mode,My main concern is that AI-generated content often lacks cultural sensitivity and nuance. Games tackle complex topics and AI might oversimplify them.
P032,38,Male,Bachelors,1,8,RPG,Anime,5,7,4,5,5,4,3,3,45,6,Yes,text-to-speech for dialogue,"If AI can generate characters with real emotional depth, that would be a game-changer. I want to feel connected to the story, not just clicking through text."
P033,25,Male,Bachelors,1,6,Adventure,Watercolor,5,5,6,3,4,4,4,6,60,5,No,,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P034,18,Non-binary,High School,10,10,Adventure,Low Poly,6,6,5,5,2,5,5,5,45,3,No,,"If the AI can maintain consistent character personalities throughout the story while still allowing growth and change, I am fully on board."
P035,31,Non-binary,High School,7,5,Adventure,Pixel Art,7,5,3,5,2,4,5,6,45,5,No,,"What excites me is the possibility of AI creating side quests and lore that feel hand-crafted. If done well, it could rival traditionally written games."
P036,18,Female,PhD,1,29,Action,Pixel Art,4,6,5,6,4,6,3,6,30,3,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P037,26,Male,Masters,1,11,Adventure,Pixel Art,7,6,7,5,3,5,6,5,90,6,No,,I am excited about AI games because they could solve the problem of repetitive content. Every session could feel genuinely new and surprising.
P038,18,Male,Bachelors,8,7,Adventure,Low Poly,5,6,6,7,4,5,4,4,45,4,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P039,18,Female,Bachelors,1,12,Strategy,Low Poly,5,6,5,5,4,5,4,5,30,3,No,,My main concern is that AI-generated content often lacks cultural sensitivity and nuance. Games tackle complex topics and AI might oversimplify them.
P040,26,Non-binary,High School,12,10,Adventure,Anime,6,7,5,4,5,6,4,5,45,4,No,,"What excites me is the possibility of AI creating side quests and lore that feel hand-crafted. If done well, it could rival traditionally written games."
P041,30,Non-binary,High School,9,9,RPG,Anime,4,5,5,5,4,5,2,4,30,1,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P042,26,Female,Bachelors,1,8,Adventure,Watercolor,6,6,7,6,5,3,5,5,45,1,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P043,24,Female,Bachelors,1,7,RPG,Pixel Art,6,5,6,5,4,5,5,3,45,1,No,,AI-generated content could make indie games compete with AAA titles in terms of content volume. That democratization of game development is exciting.
P044,23,Male,Masters,30,4,RPG,Low Poly,6,7,6,5,1,5,5,7,60,4,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P045,18,Male,Bachelors,3,22,Adventure,Anime,6,4,6,4,3,4,4,4,45,7,No,,"I want an AI game that surprises me. Not random surprises, but narratively coherent twists that feel like they were planned just for my playthrough."
P046,20,Non-binary,Bachelors,3,15,Adventure,Realistic 3D,7,7,5,4,4,5,5,5,60,7,No,,I could see AI being great for procedural side content while human writers handle the main storyline. Best of both worlds approach seems wise.
P047,22,Female,PhD,12,13,Action,Anime,5,5,5,3,2,6,3,5,90,5,No,,"I want an AI game that surprises me. Not random surprises, but narratively coherent twists that feel like they were planned just for my playthrough."
P048,32,Male,Masters,21,10,Adventure,Pixel Art,5,3,5,7,5,5,5,5,30,4,No,,"While the concept is interesting, I fear AI games will become a crutch for lazy developers who skip proper quality assurance and narrative design."
P049,27,Male,Bachelors,30,6,Puzzle,Pixel Art,5,5,5,3,6,6,7,7,30,1,Yes,high contrast mode,"I think AI games could work for casual experiences, but for a deep narrative RPG I still prefer human writers. Maybe a hybrid approach would be best."
P050,18,Female,Bachelors,10,6,Puzzle,Watercolor,5,4,5,4,6,7,3,4,45,3,No,,Would love to see an AI game that creates unique storylines each time. The replayability factor alone would be incredible for narrative-driven experiences.
P051,27,Male,Bachelors,3,4,RPG,Pixel Art,5,6,6,4,4,5,4,5,45,2,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P052,22,Male,High School,1,7,Puzzle,Anime,7,4,5,6,6,7,2,3,45,2,No,,The idea of an AI dungeon master that crafts encounters based on my party composition and past decisions sounds like the perfect tabletop-to-digital translation.
P053,20,Female,Bachelors,11,5,RPG,Realistic 3D,7,4,6,4,4,5,5,5,90,3,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P054,29,Female,Masters,6,26,Simulation,Realistic 3D,5,3,5,7,3,3,4,7,60,3,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P055,32,Female,High School,4,18,RPG,Realistic 3D,5,4,5,4,3,5,2,3,45,1,Yes,magnification support,AI-generated content could make indie games compete with AAA titles in terms of content volume. That democratization of game development is exciting.
P056,32,Male,High School,17,11,Adventure,Realistic 3D,6,2,3,5,4,6,6,5,30,5,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P057,19,Female,High School,1,6,RPG,Watercolor,5,3,6,4,3,6,3,5,60,2,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P058,23,Male,High School,5,5,Simulation,Realistic 3D,6,6,6,7,4,5,3,5,90,4,No,,AI storytelling could finally deliver on the promise of truly open-ended RPGs where your choices actually matter and the world remembers everything.
P059,27,Male,Masters,0,9,Adventure,Anime,6,6,6,3,4,4,4,5,60,7,No,,Interesting concept. I would want strong human oversight on the AI-generated content to ensure quality and coherence throughout the experience.
P060,32,Female,Masters,4,18,Puzzle,Anime,4,6,2,5,4,3,6,5,15,2,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P061,22,Female,Bachelors,0,4,RPG,Watercolor,7,4,7,6,5,4,3,5,60,1,No,,"While the concept is interesting, I fear AI games will become a crutch for lazy developers who skip proper quality assurance and narrative design."
P062,24,Female,High School,1,15,Strategy,Low Poly,7,5,5,5,6,3,4,6,15,3,No,,"The technology is promising but not there yet for full games. I would play this to see how far AI has come, but my expectations are moderate."
P063,18,Female,Bachelors,1,7,RPG,Watercolor,5,5,7,5,5,4,4,5,30,5,Yes,dyslexia-friendly font option,"I want an AI game that surprises me. Not random surprises, but narratively coherent twists that feel like they were planned just for my playthrough."
P064,18,Female,Bachelors,7,8,Action,Pixel Art,5,3,4,5,2,5,5,4,15,7,No,,AI art and writing still have a long way to go. I have seen too many AI artifacts and nonsensical plot points to fully trust the technology yet.
P065,31,Male,High School,10,11,RPG,Pixel Art,6,7,6,5,1,7,5,6,45,1,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P066,34,Male,Bachelors,6,6,RPG,Realistic 3D,6,6,4,5,5,5,4,7,60,4,No,,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P067,24,Male,Bachelors,23,9,RPG,Anime,6,5,4,6,2,4,4,6,30,3,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P068,32,Male,Bachelors,3,6,Adventure,Pixel Art,7,5,7,7,4,5,4,3,45,3,Yes,colorblind mode,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P069,28,Prefer not to say,Bachelors,2,7,Puzzle,Anime,5,5,5,4,2,6,3,6,45,7,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P070,20,Male,High School,14,16,RPG,Anime,5,2,5,3,1,4,1,5,45,1,Yes,text-to-speech for dialogue,AI storytelling could finally deliver on the promise of truly open-ended RPGs where your choices actually matter and the world remembers everything.
P071,28,Non-binary,Bachelors,2,11,Action,Realistic 3D,4,5,6,5,5,4,5,2,30,4,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P072,36,Female,Bachelors,23,16,Adventure,Watercolor,5,4,6,7,5,6,6,7,45,4,No,,I could see AI being great for procedural side content while human writers handle the main storyline. Best of both worlds approach seems wise.
P073,25,Female,Bachelors,0,7,Adventure,Pixel Art,5,4,5,4,3,3,1,4,60,5,Yes,screen reader compatibility,I could see AI being great for procedural side content while human writers handle the main storyline. Best of both worlds approach seems wise.
P074,36,Male,Masters,25,15,Adventure,Pixel Art,7,5,6,7,1,6,4,6,15,4,No,,"The concept of AI-generated narratives is fascinating. If the writing quality is high enough, I could see myself spending hours exploring branching paths."
P075,18,Female,Bachelors,0,3,Adventure,Watercolor,5,7,7,7,3,4,5,5,30,4,Yes,reduced motion option,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P076,31,Male,High School,16,11,Puzzle,Anime,6,6,5,4,5,6,7,5,45,3,No,,The idea of an AI dungeon master that crafts encounters based on my party composition and past decisions sounds like the perfect tabletop-to-digital translation.
P077,26,Male,High School,5,15,RPG,Watercolor,5,4,5,6,2,4,4,5,90,4,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P078,23,Female,Bachelors,30,3,RPG,Anime,7,6,6,7,4,6,5,6,60,3,Yes,dyslexia-friendly font option,"I want an AI game that surprises me. Not random surprises, but narratively coherent twists that feel like they were planned just for my playthrough."
P079,26,Male,High School,1,7,Action,Realistic 3D,7,7,7,4,4,5,4,5,60,5,No,,"If AI can generate characters with real emotional depth, that would be a game-changer. I want to feel connected to the story, not just clicking through text."
P080,18,Male,Bachelors,6,11,Simulation,Low Poly,5,6,7,5,5,4,6,4,45,3,Yes,keyboard-only navigation,"I want an AI game that surprises me. Not random surprises, but narratively coherent twists that feel like they were planned just for my playthrough."
P081,23,Female,PhD,24,19,Adventure,Watercolor,5,5,6,4,4,7,5,7,45,4,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P082,27,Male,Bachelors,5,7,RPG,Watercolor,7,4,4,3,3,4,3,5,15,3,No,,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P083,35,Non-binary,Bachelors,7,15,Puzzle,Realistic 3D,6,6,7,4,6,5,4,4,60,6,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P084,21,Prefer not to say,Bachelors,8,23,Adventure,Anime,7,6,4,3,4,6,3,6,90,3,Yes,one-handed control support,"I like the idea of AI-generated content for replayability, but I hope there is a solid hand-crafted narrative backbone holding everything together."
P085,19,Non-binary,Bachelors,4,15,RPG,Realistic 3D,6,6,6,5,4,3,4,4,45,1,No,,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P086,21,Male,Bachelors,7,9,RPG,Pixel Art,5,6,4,4,3,3,6,6,60,6,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P087,31,Male,PhD,6,13,Strategy,Low Poly,6,6,5,5,3,3,5,5,60,2,No,,"AI art in games has gotten impressively good. I would enjoy a game where environments shift based on mood and story beats, creating a personalized atmosphere."
P088,27,Non-binary,Bachelors,16,7,Puzzle,Pixel Art,7,4,6,3,3,7,5,7,30,2,No,,"While the concept is interesting, I fear AI games will become a crutch for lazy developers who skip proper quality assurance and narrative design."
P089,21,Male,PhD,0,11,RPG,Low Poly,6,7,6,5,4,4,4,4,90,2,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P090,29,Prefer not to say,Masters,2,10,RPG,Anime,6,5,6,6,7,7,2,4,15,6,No,,"If AI can generate characters with real emotional depth, that would be a game-changer. I want to feel connected to the story, not just clicking through text."
P091,26,Prefer not to say,High School,21,13,RPG,Pixel Art,7,7,7,2,2,5,6,6,45,1,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P092,32,Female,High School,15,8,Strategy,Anime,7,4,6,5,2,5,5,5,30,7,No,,"AI-generated games sound cool in theory, but every demo I have tried felt shallow. I hope this project addresses depth and emotional weight seriously."
P093,20,Male,High School,4,13,RPG,Low Poly,7,7,5,7,6,6,4,5,15,5,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P094,23,Male,High School,7,8,RPG,Watercolor,6,5,6,3,4,7,7,3,45,4,No,,"If AI can generate characters with real emotional depth, that would be a game-changer. I want to feel connected to the story, not just clicking through text."
P095,22,Female,High School,2,17,Action,Low Poly,5,4,7,7,3,7,4,3,30,3,Yes,adjustable text speed,AI-generated content could make indie games compete with AAA titles in terms of content volume. That democratization of game development is exciting.
P096,18,Male,Bachelors,1,9,RPG,Watercolor,6,4,4,5,6,6,3,3,45,4,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P097,27,Male,High School,4,2,Puzzle,Watercolor,7,5,6,4,3,6,4,6,45,4,No,,"I like the idea of AI-generated content for replayability, but I hope there is a solid hand-crafted narrative backbone holding everything together."
P098,27,Female,Bachelors,3,5,RPG,Low Poly,5,6,6,5,7,5,5,6,15,5,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
P099,25,Non-binary,Masters,6,11,RPG,Realistic 3D,6,6,5,6,5,5,4,5,30,5,No,,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P100,23,Female,High School,1,26,RPG,Anime,5,4,7,5,3,4,2,4,45,4,No,,"I worry AI-generated content will feel soulless. Games are art, and I am not sure algorithms can capture the human touch that makes stories resonate."
P101,18,Female,Masters,26,17,Strategy,Realistic 3D,6,5,5,6,7,5,7,6,45,3,Yes,screen reader compatibility,"The biggest risk with AI content is repetitive patterns. AI models tend to fall into predictable structures, and experienced gamers will notice quickly."
P102,22,Male,Bachelors,30,2,Action,Low Poly,7,7,5,4,3,6,5,7,60,3,No,,"What excites me is the possibility of AI creating side quests and lore that feel hand-crafted. If done well, it could rival traditionally written games."
P103,23,Female,High School,8,4,Action,Low Poly,6,7,5,5,5,4,7,4,60,3,No,,Interesting concept. I would want strong human oversight on the AI-generated content to ensure quality and coherence throughout the experience.
P104,19,Prefer not to say,Bachelors,5,20,Adventure,Pixel Art,6,6,5,3,4,4,5,5,60,6,No,,My main concern is that AI-generated content often lacks cultural sensitivity and nuance. Games tackle complex topics and AI might oversimplify them.
P105,24,Male,Bachelors,3,15,Puzzle,Watercolor,4,5,4,5,6,5,4,6,60,5,No,,My main concern is that AI-generated content often lacks cultural sensitivity and nuance. Games tackle complex topics and AI might oversimplify them.
P106,28,Male,Masters,12,33,RPG,Low Poly,6,5,3,4,6,6,6,6,45,1,No,,Would love to see an AI game that creates unique storylines each time. The replayability factor alone would be incredible for narrative-driven experiences.
P107,38,Non-binary,Masters,8,8,RPG,Pixel Art,6,6,7,4,4,5,4,5,60,5,No,,The potential for AI to create adaptive difficulty and story pacing is what interests me most. Games that respond to how I play are the future.
P108,26,Female,Masters,1,6,Action,Anime,7,4,4,7,3,6,5,5,30,4,No,,Interesting concept. I would want strong human oversight on the AI-generated content to ensure quality and coherence throughout the experience.
P109,27,Female,Bachelors,17,11,RPG,Low Poly,5,5,4,6,5,4,6,2,30,3,No,,Would love to see an AI game that creates unique storylines each time. The replayability factor alone would be incredible for narrative-driven experiences.
P110,24,Female,High School,12,8,RPG,Pixel Art,6,3,3,6,3,5,4,6,60,3,Yes,text-to-speech for dialogue,"What excites me is the possibility of AI creating side quests and lore that feel hand-crafted. If done well, it could rival traditionally written games."
P111,18,Male,Masters,21,19,RPG,Watercolor,6,6,4,3,7,5,4,5,45,6,No,,AI-generated content could make indie games compete with AAA titles in terms of content volume. That democratization of game development is exciting.
P112,25,Male,Masters,9,8,RPG,Realistic 3D,7,6,4,4,4,3,6,3,60,5,No,,I would be thrilled to play an AI narrative game with beautiful procedural art and a soundtrack that changes with the story. Total immersion is the goal.
P113,25,Female,PhD,7,9,RPG,Low Poly,5,4,7,6,3,5,4,5,60,2,Yes,larger text options,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P114,42,Female,Bachelors,4,5,Puzzle,Low Poly,6,7,6,5,4,4,4,6,60,4,No,,"I like the idea of AI-generated content for replayability, but I hope there is a solid hand-crafted narrative backbone holding everything together."
P115,24,Female,Bachelors,19,16,Adventure,Low Poly,6,3,4,7,2,7,4,5,90,2,No,,AI art and writing still have a long way to go. I have seen too many AI artifacts and nonsensical plot points to fully trust the technology yet.
P116,27,Non-binary,Masters,14,6,Action,Anime,6,3,7,5,3,6,5,6,45,1,No,,"The technology is promising but not there yet for full games. I would play this to see how far AI has come, but my expectations are moderate."
P117,25,Male,Bachelors,0,14,Action,Low Poly,5,5,6,5,6,3,6,6,30,2,No,,I am cautiously interested but worried about the uncanny valley effect in AI writing. Close-to-human but not-quite writing can be more jarring than obviously procedural text.
P118,18,Male,PhD,0,28,Adventure,Low Poly,6,6,5,4,3,6,3,6,45,5,No,,"What excites me is the possibility of AI creating side quests and lore that feel hand-crafted. If done well, it could rival traditionally written games."
P119,33,Female,Masters,3,3,RPG,Realistic 3D,7,7,2,5,2,6,4,6,45,5,No,,"I hope AI-generated games focus on atmosphere and world-building. A rich, immersive setting is what keeps me playing more than anything else."
P120,30,Female,Bachelors,12,24,Adventure,Low Poly,4,4,7,5,5,6,6,6,45,4,No,,I need to see proof that AI narratives can handle complex themes like morality and loss with the subtlety they deserve before I commit to playing.
